gwas	eqtl_db	eqtl_origin
T1D_34012112_Gaulton	BLUEPRINT	monocyte
T1D_34012112_Gaulton	BLUEPRINT	neutrophil
T1D_34012112_Gaulton	BLUEPRINT	T-cell
T1D_34012112_Gaulton	GENCORD	LCL
T1D_34012112_Gaulton	GENCORD	T-cell
T1D_34012112_Gaulton	GTEx	blood
T1D_34012112_Gaulton	GTEx	LCL
T1D_34012112_Gaulton	GTEx	pancreas
T1D_34012112_Gaulton	Lepik_2017	blood
T1D_34012112_Gaulton	Quach_2016	monocyte_IAV
T1D_34012112_Gaulton	Quach_2016	monocyte_LPS
T1D_34012112_Gaulton	Quach_2016	monocyte_naive
T1D_34012112_Gaulton	Quach_2016	monocyte_Pam3CSK4
T1D_34012112_Gaulton	Quach_2016	monocyte_R848
T1D_34012112_Gaulton	Schmiedel_2018	B-cell_naive
T1D_34012112_Gaulton	Schmiedel_2018	CD4_T-cell_anti-CD3-CD28
T1D_34012112_Gaulton	Schmiedel_2018	CD4_T-cell_naive
T1D_34012112_Gaulton	Schmiedel_2018	CD8_T-cell_anti-CD3-CD28
T1D_34012112_Gaulton	Schmiedel_2018	CD8_T-cell_naive
T1D_34012112_Gaulton	Schmiedel_2018	monocyte_CD16_naive
T1D_34012112_Gaulton	Schmiedel_2018	monocyte_naive
T1D_34012112_Gaulton	Schmiedel_2018	NK-cell_naive
T1D_34012112_Gaulton	Schmiedel_2018	Tfh_memory
T1D_34012112_Gaulton	Schmiedel_2018	Th1-17_memory
T1D_34012112_Gaulton	Schmiedel_2018	Th17_memory
T1D_34012112_Gaulton	Schmiedel_2018	Th1_memory
T1D_34012112_Gaulton	Schmiedel_2018	Th2_memory
T1D_34012112_Gaulton	Schmiedel_2018	Treg_memory
T1D_34012112_Gaulton	Schmiedel_2018	Treg_naive
T1D_34012112_Gaulton	van_de_Bunt_2015	pancreatic_islet
T1D_25751624	BLUEPRINT	monocyte
T1D_25751624	BLUEPRINT	neutrophil
T1D_25751624	BLUEPRINT	T-cell
T1D_25751624	GENCORD	LCL
T1D_25751624	GENCORD	T-cell
T1D_25751624	GTEx	blood
T1D_25751624	GTEx	LCL
T1D_25751624	GTEx	pancreas
T1D_25751624	Lepik_2017	blood
T1D_25751624	Quach_2016	monocyte_IAV
T1D_25751624	Quach_2016	monocyte_LPS
T1D_25751624	Quach_2016	monocyte_naive
