gwas	eqtl_db	eqtl_origin	loop_origin	hichip_map
# data for monocytes cells (DONE)
T1D_34012112_Gaulton	BLUEPRINT	monocyte	monocyte_naive	Y
T1D_34012112_Gaulton	Quach_2016	monocyte_IAV	monocyte_naive	M
T1D_34012112_Gaulton	Quach_2016	monocyte_LPS	monocyte_naive	M
T1D_34012112_Gaulton	Quach_2016	monocyte_Pam3CSK4	monocyte_naive	M
T1D_34012112_Gaulton	Quach_2016	monocyte_R848	monocyte_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	monocyte_CD16_naive	monocyte_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	monocyte_naive	monocyte_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	CD16p_Mono	monocyte_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	CL_Mono	monocyte_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	Int_Mono	monocyte_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	NC_Mono	monocyte_naive	M
T1D_25751624	BLUEPRINT	monocyte	monocyte_naive	Y
T1D_25751624	Quach_2016	monocyte_IAV	monocyte_naive	M
T1D_25751624	Quach_2016	monocyte_LPS	monocyte_naive	M
T1D_25751624	Quach_2016	monocyte_Pam3CSK4	monocyte_naive	M
T1D_25751624	Quach_2016	monocyte_R848	monocyte_naive	M
T1D_25751624	Schmiedel_2018	monocyte_CD16_naive	monocyte_naive	M
T1D_25751624	Schmiedel_2018	monocyte_naive	monocyte_naive	Y
T1D_25751624	ImmuNexUT	CD16p_Mono	monocyte_naive	Y
T1D_25751624	ImmuNexUT	CL_Mono	monocyte_naive	Y
T1D_25751624	ImmuNexUT	Int_Mono	monocyte_naive	Y
T1D_25751624	ImmuNexUT	NC_Mono	monocyte_naive	M
T1D_34594039_GCST90018925	BLUEPRINT	monocyte	monocyte_naive	Y
T1D_34594039_GCST90018925	Quach_2016	monocyte_IAV	monocyte_naive	M
T1D_34594039_GCST90018925	Quach_2016	monocyte_LPS	monocyte_naive	M
T1D_34594039_GCST90018925	Quach_2016	monocyte_Pam3CSK4	monocyte_naive	M
T1D_34594039_GCST90018925	Quach_2016	monocyte_R848	monocyte_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	monocyte_CD16_naive	monocyte_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	monocyte_naive	monocyte_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	CD16p_Mono	monocyte_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	CL_Mono	monocyte_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	Int_Mono	monocyte_naive	Y
T1D_34594039_GCST90018925	ImmuNexUT	NC_Mono	monocyte_naive	M
T1D_32005708	BLUEPRINT	monocyte	monocyte_naive	Y
